Area_Name,Year,complaints_received,complaints_cases_registered,disciplinary_actions,dismissals,convictions_police,false_complaints,dept_enquiries,mag_enquiries,rape_victims_total,rape_upto_10,rape_10_14,rape_14_18,rape_18_30,rape_30_50,rape_above_50,property_stolen_value,property_recovered_value,murder_total,murder_above_50,auto_theft_stolen,auto_theft_recovered,fraud_1_10cr,fraud_10_25cr,fraud_25_50cr,fraud_50_100cr,fraud_above_100cr,trial_total,trial_confession,trial_regular,housing_available,sanctioned_strength,women_cases_reported,women_chargesheeted,women_convicted,women_acquitted,women_pending_investigation,women_pending_trial,women_false_cases,women_arrests_persons,women_arrests_convicted,women_arrests_chargesheeted,fraud_total,rape_below_18,custodial_deaths_total,property_recovery_rate,violent_crime_index,property_crime_index,accountability_score,judicial_backlog_score,women_safety_score,housing_gap,total_crime_proxy,crime_yoy_pct,crime_3yr_avg,rape_minor_pct,complaint_registration_ratio
Bihar,2008,36,27,816,10,0,2,73,0,2604,0,22,160,2056,318,48,928785292,110742834,6278.0,228.0,5350.0,782.0,73.0,0.0,0.0,0.0,0.0,31892.0,2.0,31890.0,13443.0,15980.0,7682,4819,762,10557,7487,18250,1060,11434,1335,10134,73.0,182,0,11.92340522119293,8882.0,5423.0,846,0,18354,2537.0,22023.0,-27.68,26124.33,6.99,1.33
Bihar,2009,40,38,673,9,0,0,79,0,1858,24,38,64,1530,202,0,1015446390,144947142,6358.0,286.0,7348.0,828.0,0.0,0.0,0.0,0.0,0.0,30458.0,0.0,30458.0,13688.0,16381.0,16676,9911,1461,14378,18202,41640,1897,26615,3369,21857,0.0,126,0,14.274228893560792,8216.0,7348.0,700,0,41830,2693.0,32280.0,46.57,28252.33,6.78,1.05
Bihar,2010,35,37,643,5,0,1,2,0,1590,16,34,178,1232,130,0,1095849336,149925670,6724.0,450.0,8542.0,800.0,0.0,0.0,0.0,0.0,0.0,31055.0,0.0,31055.0,13455.0,16093.0,16298,9765,1598,14297,20246,42794,1754,23743,2881,22520,0.0,228,0,13.681230172319966,8314.0,8542.0,658,0,38443,2638.0,33189.0,2.82,29164.0,14.34,0.95
Chandigarh,2001,52,6,131,11,0,42,1,0,38,0,16,8,8,6,0,99054218,42229224,30.0,8.0,988.0,400.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,249.0,0.0,503.0,315,187,56,7980,84,509,60,339,84,386,0.0,24,0,42.63243388585431,68.0,988.0,164,0,598,503.0,1423.0,0.0,1423.0,63.16,8.67
Chandigarh,2002,125,6,135,4,0,123,13,0,36,2,8,2,18,6,0,142767102,46058124,62.0,6.0,1234.0,460.0,1.0,0.0,0.0,0.0,0.0,267.0,0.0,267.0,0.0,504.0,397,257,58,7982,94,617,50,382,74,293,1.0,12,0,32.26102046954767,98.0,1235.0,147,0,721,504.0,1855.0,30.36,1639.0,33.33,20.83
Chandigarh,2003,238,4,130,16,0,179,0,0,36,6,2,10,14,4,0,127444718,55902922,42.0,2.0,1132.0,572.0,2.0,0.0,1.0,0.0,0.0,231.0,0.0,231.0,0.0,504.0,341,180,46,7952,122,687,64,398,48,301,3.0,18,0,43.864447956171865,78.0,1135.0,178,0,693,504.0,1792.0,-3.4,1690.0,50.0,59.5
Chandigarh,2004,309,0,109,2,0,33,0,0,38,10,10,6,10,2,0,150135172,72431744,44.0,4.0,1348.0,436.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,270.0,0.0,504.0,396,283,29,8005,96,828,101,614,133,467,0.0,26,0,48.24435409445563,82.0,1348.0,115,0,981,504.0,2135.0,19.14,1927.33,68.42,0.0
Chandigarh,2005,192,0,112,3,0,168,192,0,66,14,8,20,10,14,0,137765648,47599432,36.0,2.0,1158.0,402.0,2.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,504.0,437,278,24,7980,145,990,56,585,34,482,2.0,42,0,34.55101666563497,102.0,1160.0,121,0,998,504.0,1891.0,-11.43,1939.33,63.64,0.0
Chandigarh,2006,207,2,96,4,0,171,207,0,38,6,4,12,8,8,0,122534562,58345278,28.0,10.0,1058.0,350.0,4.0,0.0,0.0,0.0,0.0,325.0,0.0,325.0,0.0,504.0,485,260,47,8021,190,1077,85,697,60,518,4.0,22,0,47.61536422678852,66.0,1062.0,108,0,1135,504.0,1820.0,-3.75,1948.67,57.89,100.0
Chandigarh,2007,172,3,84,4,0,105,172,0,44,6,6,4,22,6,0,199544414,60850420,40.0,2.0,1706.0,444.0,1.0,0.0,0.0,0.0,0.0,324.0,0.0,324.0,0.0,504.0,498,249,55,8030,273,1128,73,559,78,437,1.0,16,0,30.49467473441777,84.0,1707.0,96,0,1002,504.0,2461.0,35.22,2057.33,36.36,57.33
